0000,0.0163235767
1305,0.002446
1306,0.002446
1307,0.0066371681
1309,0.002446
1310,0.002446
1311,0.0317460317
1312,0.002446
1313,0.002446
1314,0.0028116214
1315,0.002446
1316,0.002446
1317,0.0013879251
1318,0.002446
1319,0.0064102564
1320,0.002446
1321,0.0551181102
1322,0.002446
1323,0.002446
1324,0.002446
1325,0.0044843049
1326,0.002446
1327,0.002446
1328,0.0031347962
1330,0.002446
1331,0.002446
1332,0.002446
1333,0.0545454545
1334,0.002446
1335,0.002446
1336,0.002446
1337,0.002446
1338,0.002446
1339,0.0045792788
1340,0.0010831302
1342,0.002446
1345,0.002446
1346,0.002446
1347,0.002446
1348,0.0167664671
1350,0.002446
1351,0.002446
1353,0.0006899147
1354,0.002446
1357,0.002446
1358,0.002446
1359,0.002446
1360,0.002446
1361,0.002446
1362,0.002446
1363,0.002446
1364,0.002446
1366,0.002446
1368,0.002446
1369,0.002446
1370,0.0002463965
1372,0.002446
1373,0.000669344
1375,0.002446
1376,0.0034722222
1378,0.002446
1379,0.002446
1381,0.0079365079
1382,0.002446
1384,0.002446
1389,0.002446
1390,0.002446
1391,0.0019880716
1392,0.002446
1394,0.002446
1395,0.002446
1396,0.0008857396
1397,0.0002972652
1398,0.002446
1401,0.0001660854
1402,0.002446
1403,0.002446
1405,0.0002302768
1406,0.002446
1407,0.0055020633
1409,0.000670466
1410,0.002446
1411,0.0001475253
1412,0.0008061266
1413,0.0001295977
1415,0.0003164357
1416,0.002446
1418,0.0001498576
1419,0.002446
1420,0.0003509182
1421,0.002446
1422,0.000325839
1423,0.002446
1424,0.000405515
1425,0.0020661157
1426,0.002446
1427,0.002446
1428,0.002446
1429,0.002446
1430,0.0026986507
1431,0.002446
1434,0.002446
1436,0.0008928571
1437,0.01171875
1439,0.0031847134
1440,0.002446
1445,0.0018552876
1446,0.002446
1448,0.002446
1449,0.0033255737
1451,0.002446
1452,0.002446
1453,0.002446
1454,0.002446
1455,0.002446
1456,0.002446
1457,0.002446
1458,0.002446
1459,0.002446
1461,0.002446
1462,0.002446
1463,0.0033557047
1465,0.001059322
1466,0.002446
1467,0.0112903226
1468,0.002446
1469,0.002446
1470,0.002446
1471,0.002446
1472,0.002446
1473,0.002446
1476,0.002446
1477,0.002446
1478,0.002446
1480,0.002446
1481,0.0102040816
1483,0.002446
1486,0.002446
1487,0.002446
1488,0.0003863988
1489,0.002446
1490,0.002446
1491,0.002446
1493,0.0000763242
1495,0.002446
1496,0.002446
1497,0.002446
1498,0.025862069
1500,0.0051660517
1502,0.0073126143
1503,0.01
